run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,dmi_minimum_difference,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,trend_filter_enabled,trend_bar_spec,trend_fast_period,trend_slow_period,entry_timing_enabled,entry_timing_bar_spec,entry_timing_method,entry_timing_timeout_bars,bar_spec,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses,objective_value,rank
168,30,100,0.35,35,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-4319.42,-0.032,0.3020833333333333,0.0,192,744.6546551724134,-354.54768656716436,0.0,-22.496979166666964,21318,completed,,108.77711367607117,logs\backtest_results\EUR-USD_20251105_110043_492634,8,-0.032,75
23,20,100,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-6713.11,-0.033,0.39520958083832336,0.0,334,494.557424242424,-356.4093564356434,0.0,-20.09913173652694,342576,completed,,275.49563479423523,logs\backtest_results\EUR-USD_20251105_103051_936104,11,-0.033,76
123,42,200,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-5178.73,-0.033,0.3964285714285714,0.0,280,495.6844144144147,-356.21124260355026,0.0,-18.495464285714185,125697,completed,,160.8264136314392,logs\backtest_results\EUR-USD_20251105_105507_493755,10,-0.033,77
202,10,200,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,-4007.36,-0.033,0.234375,0.0,192,744.5288888888891,-255.17795918367355,0.0,-20.871666666666684,9721,completed,,99.59321975708008,logs\backtest_results\EUR-USD_20251105_110416_155914,12,-0.033,78
45,30,270,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-6744.59,-0.034,0.31990521327014215,0.0,422,495.15162962962984,-256.41135888501725,0.0,-15.982440758293695,306455,completed,,298.799090385437,logs\backtest_results\EUR-USD_20251105_103618_703772,12,-0.034,79
220,20,200,0.35,35,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,-3906.0,-0.034,0.2987012987012987,0.0,154,744.5419565217393,-353.28638888888884,0.0,-25.363636363636296,9856,completed,,104.09771203994751,logs\backtest_results\EUR-USD_20251105_110610_130372,12,-0.034,80
84,20,50,0.35,35,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-5302.51,-0.035,0.30472103004291845,0.0,233,738.6909859154927,-356.4788271604938,0.0,-22.757553648068743,154104,completed,,179.1474289894104,logs\backtest_results\EUR-USD_20251105_104656_802568,13,-0.035,81
114,42,50,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-5914.41,-0.035,0.23508771929824562,0.0,285,745.0807462686564,-256.1230275229358,0.0,-20.752315789473737,145139,completed,,163.54521465301514,logs\backtest_results\EUR-USD_20251105_105243_729318,29,-0.035,82
117,42,100,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-6171.45,-0.035,0.32041343669250644,0.0,387,494.9240322580647,-256.8138022813687,0.0,-15.946899224806076,131312,completed,,165.9278392791748,logs\backtest_results\EUR-USD_20251105_105349_355042,12,-0.035,83
195,10,50,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,-4787.71,-0.035,0.3977272727272727,0.0,264,494.2393333333335,-356.4958490566037,0.0,-18.135265151515053,17023,completed,,101.59211230278015,logs\backtest_results\EUR-USD_20251105_110310_673453,6,-0.035,84
250,42,200,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,-3303.35,-0.035,0.23493975903614459,0.0,166,744.4979487179488,-254.63598425196838,0.0,-19.899698795180594,8382,completed,,99.92310976982117,logs\backtest_results\EUR-USD_20251105_110933_499403,14,-0.035,85
141,10,270,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-4361.55,-0.037,0.3170731707317073,0.0,246,495.21230769230806,-255.88160714285732,0.0,-17.729878048780485,9113,completed,,113.37142157554626,logs\backtest_results\EUR-USD_20251105_105708_667739,10,-0.037,86
158,20,270,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-4186.54,-0.037,0.23383084577114427,0.0,201,745.3097872340427,-254.65000000000003,0.0,-20.828557213930356,11356,completed,,108.36471366882324,logs\backtest_results\EUR-USD_20251105_105902_349992,12,-0.037,87
139,10,200,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-4199.33,-0.038,0.3952380952380952,0.0,210,494.6348192771087,-356.3308661417325,0.0,-19.99680952380958,14634,completed,,115.26543831825256,logs\backtest_results\EUR-USD_20251105_105708_582014,8,-0.038,88
17,20,50,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-8092.34,-0.039,0.3165137614678899,0.0,436,495.165507246377,-256.46033557046985,0.0,-18.560412844036687,381450,completed,,265.45437026023865,logs\backtest_results\EUR-USD_20251105_103037_179727,14,-0.039,89
