timestamp_ns,delivery_count
1769566500000000000,2
1769567400000000000,2
1769568300000000000,2
1769569200000000000,2
1769570100000000000,2
1769571000000000000,2
1769571900000000000,2
1769572800000000000,2
1769573700000000000,2
1769574600000000000,2
1769575500000000000,2
1769576400000000000,2
1769577300000000000,2
1769578200000000000,2
1769579100000000000,2
1769580000000000000,2
1769580900000000000,2
1769581800000000000,2
1769582700000000000,2
1769583600000000000,2
1769584500000000000,2
1769585400000000000,2
1769586300000000000,2
1769587200000000000,2
1769588100000000000,2
1769589000000000000,2
1769589900000000000,2
1769590800000000000,2
1769591700000000000,2
1769592600000000000,2
1769593500000000000,2
1769594400000000000,2
1769595300000000000,2
1769596200000000000,2
1769597100000000000,2
1769598000000000000,2
1769598900000000000,2
1769599800000000000,2
1769600700000000000,2
1769601600000000000,2
1769602500000000000,2
1769603400000000000,2
1769604300000000000,2
1769605200000000000,2
1769606100000000000,2
1769607000000000000,2
1769607900000000000,2
1769608800000000000,2
1769609700000000000,2
1769610600000000000,2
1769611500000000000,2
1769612400000000000,2
1769613300000000000,2
1769614200000000000,2
1769615100000000000,2
1769616000000000000,2
1769616900000000000,2
1769617800000000000,2
1769618700000000000,2
1769619600000000000,2
1769620500000000000,2
1769621400000000000,2
1769622300000000000,2
1769623200000000000,2
1769624100000000000,2
1769625000000000000,2
1769625900000000000,2
1769626800000000000,2
1769627700000000000,2
1769628600000000000,2
1769629500000000000,2
1769630400000000000,2
1769631300000000000,2
1769632200000000000,2
1769633100000000000,2
1769634000000000000,2
1769634900000000000,2
1769635800000000000,2
1769636700000000000,2
1769638500000000000,4
1769639400000000000,4
1769640300000000000,4
1769641200000000000,4
1769642100000000000,4
1769643000000000000,4
1769643900000000000,4
1769644800000000000,4
1769645700000000000,4
1769646600000000000,4
1769647500000000000,4
1769648400000000000,4
1769649300000000000,4
1769650200000000000,4
1769651100000000000,4
1769652000000000000,4
1769652900000000000,4
1769653800000000000,4
1769654700000000000,4
1769655600000000000,4
1769656500000000000,4
1769657400000000000,4
1769658300000000000,4
1769659200000000000,4
1769660100000000000,4
1769661000000000000,4
1769661900000000000,4
1769662800000000000,4
1769663700000000000,4
1769664600000000000,4
1769665500000000000,4
1769666400000000000,4
1769667300000000000,4
1769668200000000000,4
1769669100000000000,4
1769670000000000000,4
1769670900000000000,4
1769671800000000000,4
1769672700000000000,4
1769673600000000000,4
1769674500000000000,4
1769675400000000000,4
1769676300000000000,4
1769677200000000000,4
1769678100000000000,4
1769679000000000000,4
1769679900000000000,4
1769680800000000000,4
1769681700000000000,4
1769682600000000000,4
1769683500000000000,4
1769684400000000000,4
1769685300000000000,4
1769686200000000000,4
1769687100000000000,4
1769688000000000000,4
1769688900000000000,4
1769689800000000000,4
1769690700000000000,4
1769691600000000000,4
1769692500000000000,4
1769693400000000000,4
1769694300000000000,4
1769695200000000000,4
1769696100000000000,4
1769697000000000000,4
1769697900000000000,4
1769698800000000000,4
1769699700000000000,4
1769700600000000000,4
1769701500000000000,4
1769702400000000000,4
1769703300000000000,4
1769704200000000000,4
1769705100000000000,4
1769706000000000000,4
1769706900000000000,4
1769707800000000000,4
1769708700000000000,4
1769709600000000000,4
1769710500000000000,4
1769711400000000000,4
1769712300000000000,4
1769713200000000000,4
1769714100000000000,4
1769715000000000000,4
1769715900000000000,4
1769716800000000000,4
1769717700000000000,4
1769718600000000000,4
1769719500000000000,4
1769720400000000000,4
1769721300000000000,4
1769722200000000000,4
1769723100000000000,4
1769724900000000000,4
1769725800000000000,4
1769726700000000000,4
1769727600000000000,4
1769728500000000000,4
1769729400000000000,4
1769730300000000000,4
1769731200000000000,4
1769732100000000000,4
1769733000000000000,4
1769733900000000000,4
1769734800000000000,4
1769735700000000000,4
1769736600000000000,4
1769737500000000000,4
1769738400000000000,4
1769739300000000000,4
1769740200000000000,4
1769741100000000000,4
1769742000000000000,4
1769742900000000000,4
1769743800000000000,4
1769744700000000000,4
1769745600000000000,4
1769746500000000000,4
1769747400000000000,4
1769748300000000000,4
1769749200000000000,4
1769750100000000000,4
1769751000000000000,4
1769751900000000000,4
1769752800000000000,4
1769753700000000000,4
1769754600000000000,4
1769755500000000000,4
1769756400000000000,4
1769757300000000000,4
1769758200000000000,4
1769759100000000000,4
1769760000000000000,4
1769760900000000000,4
1769761800000000000,4
1769762700000000000,4
1769763600000000000,4
1769764500000000000,4
1769765400000000000,4
1769766300000000000,4
1769767200000000000,4
1769768100000000000,4
1769769000000000000,4
1769769900000000000,4
1769770800000000000,4
1769771700000000000,4
1769772600000000000,4
1769773500000000000,4
1769774400000000000,4
1769775300000000000,4
1769776200000000000,4
1769777100000000000,4
1769778000000000000,4
1769778900000000000,4
1769779800000000000,4
1769780700000000000,4
1769781600000000000,4
1769782500000000000,4
1769783400000000000,4
1769784300000000000,4
1769785200000000000,4
1769786100000000000,4
1769787000000000000,4
1769787900000000000,4
1769788800000000000,4
1769789700000000000,4
1769790600000000000,4
1769791500000000000,4
1769792400000000000,4
1769793300000000000,4
1769794200000000000,4
1769795100000000000,4
1769796000000000000,4
1769796900000000000,4
1769797800000000000,4
1769798700000000000,4
1769799600000000000,4
1769800500000000000,4
1769801400000000000,4
1769802300000000000,4
1769803200000000000,4
1769804100000000000,4
1769805000000000000,4
1769805900000000000,4
1769806800000000000,4
1769807700000000000,4
