timestamp,bar_close_time,signal_type,action,reason,fast_sma,slow_sma
2025-08-20 11:20:00+00:00,2025-08-20 11:25:00+00:00,BUY,rejected,"stochastic_crossing_direction_mismatch (last crossing was BEARISH, need BULLISH)",1.1646740000000002,1.164631592592593
2025-08-20 12:10:00+00:00,2025-08-20 12:15:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=12 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.164572,1.1645230370370376
2025-08-20 12:15:00+00:00,2025-08-20 12:20:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=12 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.164665,1.1645151481481486
2025-08-20 12:20:00+00:00,2025-08-20 12:25:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=12 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1647290000000001,1.1645062222222227
2025-08-20 12:25:00+00:00,2025-08-20 12:30:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=12 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1647910000000001,1.164498740740741
2025-08-20 12:30:00+00:00,2025-08-20 12:35:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=12 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.165021,1.1644943703703707
2025-08-20 12:35:00+00:00,2025-08-20 12:40:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=12 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.165243,1.1644912592592596
2025-08-20 12:40:00+00:00,2025-08-20 12:45:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=12 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1654740000000001,1.1644870370370373
2025-08-20 12:45:00+00:00,2025-08-20 12:50:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=12 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.165733,1.164484962962963
2025-08-20 12:50:00+00:00,2025-08-20 12:55:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=12 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1659560000000002,1.1644846296296298
2025-08-20 12:55:00+00:00,2025-08-20 13:00:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=12 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1661560000000002,1.1644852592592594
2025-08-20 13:00:00+00:00,2025-08-20 13:05:00+00:00,BUY,rejected,stochastic_unfavorable,1.166347,1.1644864814814815
2025-08-20 13:05:00+00:00,2025-08-20 13:10:00+00:00,BUY,rejected,"dmi_trend_mismatch (+DI=6.91 <= -DI=16.01, bearish trend)",1.1664630000000002,1.1644842962962962
2025-08-20 13:10:00+00:00,2025-08-20 13:15:00+00:00,BUY,rejected,"dmi_trend_mismatch (+DI=4.39 <= -DI=16.12, bearish trend)",1.1665940000000001,1.164482851851852
2025-08-20 13:15:00+00:00,2025-08-20 13:20:00+00:00,BUY,rejected,"dmi_trend_mismatch (+DI=5.95 <= -DI=15.31, bearish trend)",1.1667100000000001,1.1644814814814817
2025-08-20 13:20:00+00:00,2025-08-20 13:25:00+00:00,BUY,rejected,"dmi_trend_mismatch (+DI=8.16 <= -DI=9.33, bearish trend)",1.166703,1.164481074074074
2025-08-20 13:25:00+00:00,2025-08-20 13:30:00+00:00,BUY,rejected,"dmi_trend_mismatch (+DI=5.19 <= -DI=18.75, bearish trend)",1.166685,1.1644801851851851
